productId,제목,가격,개수,용량(ml),타겟,URL
84739880223,탬버린즈 퍼퓸 카모,42000,1,11,공용,https://smartstore.naver.com/main/products/7195379901
89179689089,바이레도 모하비고스트 오 드 퍼퓸,195800,1,100,여성,https://smartstore.naver.com/main/products/11635178644
82345848376,아워블렌드 오드퍼퓸 디스커버리 키트 시향킷,3500,1,5,여성,https://smartstore.naver.com/main/products/4801325711
87810155244,제니퍼로페즈 향수 스틸 오드퍼퓸 EDP,46800,1,100,여성,https://smartstore.naver.com/main/products/10265651459
89271897722,딥디크 오로즈 오드퍼퓸,155800,1,75,공용,https://smartstore.naver.com/main/products/11727387223
83858410130,더스크 니치향수 시향 테스트 미니 휴대용 수제 명품 오드퍼퓸,3500,1,5,여성,https://smartstore.naver.com/main/products/6313907641
84739880165,탬버린즈 퍼퓸 버가샌달,42000,1,11,공용,https://smartstore.naver.com/main/products/7195379843
88527977754, NEW 디올 미스디올 블루밍 부케 오드 뚜왈렛  롤러 롤온,64900,1,20,여성,https://smartstore.naver.com/main/products/10983471701
83326149704,투베이스 키트 향기선생님 조향 향수 만들기 키트 체험 DIY (플라스틱용기),10000,1,60,공용,https://smartstore.naver.com/main/products/5781650290
11674116997, 키엘 오리지널 머스크 향수,69000,1,50,공용,https://smartstore.naver.com/main/products/2014347429
87831333308,엔비 싱크로율 99% 카피향수  미라벨 퍼퓸,13900,1,30,여성,https://smartstore.naver.com/main/products/10286829449
89123269825,톰포드 로스트체리 EDP 오드 퍼퓸,219450,1,50,여성,https://smartstore.naver.com/main/products/11578759419
88628034154,구찌 플로라 골저스 매그놀리아 오드퍼퓸  (미니어처),24800,1,5,여성,https://smartstore.naver.com/main/products/11083523832
89298882005,헤라 지일 오데 퍼퓸 향수,40500,1,40,여성,https://smartstore.naver.com/main/products/11754371418
86111058102, 메모 인레 오드퍼퓸 리필,58900,1,10,여성,https://smartstore.naver.com/main/products/8566557779
87294409774,플라워바이 겐조 향수 오드뚜왈렛 EDT,59000,1,100,여성,https://smartstore.naver.com/main/products/9749907501
86221796237,룩백 프리미엄 퍼퓸 미스트 밀레지움 임페리얼 미르토,69000,3,100,남성,https://smartstore.naver.com/main/products/8677295914
84593262798, 톰포드 네롤리 포르토피노 오 드 퍼퓸  아토마이저,89000,1,10,공용,https://smartstore.naver.com/main/products/7048762476
85521321215, 불리 이리드말트 목욕하는 여인 향수 재출시,157000,1,75,공용,https://smartstore.naver.com/main/products/7976820892
